title,views,time-stamp-upload-milliseconds,time-stamp,date-time-hr,upload-time-hr,upload-time-stamp,description,video-length,video-length-milliseconds,channel
Biden 2024: Older Americans weigh in on Joe Biden’s age - BBC News,3948,3468000,1682425815158, 2023-04-25 14:30:15.158000, 2023-04-25 13:32:27.158000,1682422347158, US President Joe Biden has announced he will run for re-election in 2024 setting the stage for a potential rematch with Donald Trump.\n\nPresident Biden 80 is already the oldest president..., 1 minute 48 seconds,108000,BBC-News
PLA Navy Conducts Regular Exercises in Waters Off Taiwan Island,2191,172902000,1681471786110, 2023-04-14 13:29:46.110000, 2023-04-12 13:28:04.110000,1681298884110, The Chinese military on Tuesday conducted a new round of regular exercises in waters off the Taiwan island after the three-day joint drills around the island ended on Monday.\nhttps://www.cctvplus.c..., 1 minute 42 seconds,102000,CCTV-Video-News-Agency
Can surfing ever become sustainable? -  BBC News,15184,259430000,1684529778901, 2023-05-19 22:56:18.901000, 2023-05-16 22:52:28.901000,1684270348901, Historically surfing has had an image of a sport and lifestyle that is in tune with and protects oceans and the environment. But some surfers say the sport relies on boards and wetsuits..., 3 minutes 50 seconds,230000,BBC-News
Chinese Navy's Shandong Aircraft Carrier: Full-Fledged Military Base,46299,173011000,1682512264169, 2023-04-26 14:31:04.169000, 2023-04-24 14:27:33.169000,1682339253169, The second aircraft carrier of the Chinese People's Liberation Army (PLA) Navy the Shandong has turned out to be a full-fledged military base for sailors to carry out tasks and live in.\nhttps://w..., 3 minutes 31 seconds,211000,CCTV-Video-News-Agency
Hear head of Wagner Group scream at Putin's defense minister,222128,259596000,1683637245277, 2023-05-09 15:00:45.277000, 2023-05-06 14:54:09.277000,1683377649277, CNN's Nick Paton Walsh reports from Ukraine where the Wagner Group may pull out of the key city Bakhmut due to a lack of ammo. CNN's Wolf Blitzer discusses with \nOksana Markarova Ukraine's..., 6 minutes 36 seconds,396000,CNN-News
Fact-checking Trump’s speech after his arrest and arraignment,411211,173018000,1680876021007, 2023-04-07 16:00:21.007000, 2023-04-05 15:56:43.007000,1680703003007, CNN’s Daniel Dale fact checks former President Donald Trump’s remarks at his Mar-a-Lago club after he was arrested and arraigned in Manhattan Criminal Court. #CNN #News, 3 minutes 38 seconds,218000,CNN-News
Elon Musk tells Tucker his plans to create a ‘TruthGPT’ AI platform,267482,86871000,1681918218518, 2023-04-19 17:30:18.518000, 2023-04-18 17:22:27.518000,1681831347518, Twitter CEO Elon Musk shares his concerns about potential bias in artificial intelligence and his plans to create a safer and more truthful option on 'Tucker Carlson Tonight.'\n\nSubscribe to..., 7 minutes 51 seconds,471000,Fox-News
NASA UFO team holds first public meeting on unexplained sightings,1279,39697000,1685641415146, 2023-06-01 19:43:35.146000, 2023-06-01 08:41:58.146000,1685601718146, NASA has held its first public meeting on UFOs – officially referred to as “unidentified aerial phenomena” (UAPs) – a year after launching a study into unexplained sightings.\n\nAl Jazeera’..., 1 minute 37 seconds,97000,Al-Jazeera-English
Trump aide indicted in classified documents case,158826,259608000,1686617220448, 2023-06-13 02:47:00.448000, 2023-06-10 02:40:12.448000,1686357612448, Walt Nauta an aide to former President Donald Trump has been indicted in special counsel Jack Smith’s investigation into the mishandling of classified documents from the Trump White House..., 6 minutes 48 seconds,408000,CNN-News
Chinese couple says they were illegally detained and bank cards confiscated,99568,259509000,1682463140198, 2023-04-26 00:52:20.198000, 2023-04-23 00:47:11.198000,1682203631198, CNN's Selina Wang reports on a massive banking scandal in China that started in April 2022 that has robbed nearly half a million people of their life's savings. #CNN #News, 5 minutes 9 seconds,309000,CNN-News
Pope Francis in hospital with respiratory infection - BBC News,43499,345814000,1680542676354, 2023-04-03 19:24:36.354000, 2023-03-30 19:21:02.354000,1680196862354, Pope Francis has been admitted to hospital for a respiratory infection and is expected to remain there for a few days the Vatican has said.\n\nThe 86-year-old has had breathing difficulties..., 3 minutes 34 seconds,214000,BBC-News
Jesse Watters: Democrats are going to throw Biden back in the basement,185655,86787000,1683473780392, 2023-05-07 17:36:20.392000, 2023-05-06 17:29:53.392000,1683386993392, Fox News host Jesse Watters sounds off on the DNC's refusal to hold primary debates for the 2024 election on 'Jesse Watters Primetime.'\n#FoxNews #Fox #JesseWattersPrimetime  \n\nSubscribe to..., 6 minutes 27 seconds,387000,Fox-News
